STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00080236,"ARCHBOLD BIO STATION, FL US",08/03/2004,0,87,46
USC00080236,"ARCHBOLD BIO STATION, FL US",09/03/2004,0,78,31
USC00080236,"ARCHBOLD BIO STATION, FL US",10/03/2004,0,76,39
USC00080236,"ARCHBOLD BIO STATION, FL US",11/03/2004,0,71,37
USC00080236,"ARCHBOLD BIO STATION, FL US",12/03/2004,0,75,39
USC00080236,"ARCHBOLD BIO STATION, FL US",13/03/2004,0,77,40
USC00080236,"ARCHBOLD BIO STATION, FL US",14/03/2004,0,80,52
USC00080236,"ARCHBOLD BIO STATION, FL US",15/03/2004,0,80,60
USC00080236,"ARCHBOLD BIO STATION, FL US",16/03/2004,0,84,67
USC00080236,"ARCHBOLD BIO STATION, FL US",17/03/2004,0.22,77,62
USC00080236,"ARCHBOLD BIO STATION, FL US",18/03/2004,0,83,46
USC00080236,"ARCHBOLD BIO STATION, FL US",19/03/2004,0,82,46
USC00080236,"ARCHBOLD BIO STATION, FL US",20/03/2004,0,84,59
USC00080236,"ARCHBOLD BIO STATION, FL US",21/03/2004,0,85,47
USC00080236,"ARCHBOLD BIO STATION, FL US",22/03/2004,0,85,51
USC00080236,"ARCHBOLD BIO STATION, FL US",23/03/2004,0,80,52
USC00080236,"ARCHBOLD BIO STATION, FL US",24/03/2004,0,80,52
USC00080236,"ARCHBOLD BIO STATION, FL US",25/03/2004,0,75,56
USC00080236,"ARCHBOLD BIO STATION, FL US",26/03/2004,0,81,56
USC00080236,"ARCHBOLD BIO STATION, FL US",27/03/2004,0,82,56
USC00080236,"ARCHBOLD BIO STATION, FL US",28/03/2004,0,80,59
USC00080236,"ARCHBOLD BIO STATION, FL US",29/03/2004,0,83,45
USC00080236,"ARCHBOLD BIO STATION, FL US",30/03/2004,0,82,42
USC00080236,"ARCHBOLD BIO STATION, FL US",31/03/2004,0,84,49
USC00080236,"ARCHBOLD BIO STATION, FL US",01/04/2004,0,84,45
USC00080236,"ARCHBOLD BIO STATION, FL US",02/04/2004,0,75,32
USC00080236,"ARCHBOLD BIO STATION, FL US",03/04/2004,0,77,36
USC00080236,"ARCHBOLD BIO STATION, FL US",04/04/2004,0,80,37
USC00080236,"ARCHBOLD BIO STATION, FL US",05/04/2004,0,80,37
USC00080236,"ARCHBOLD BIO STATION, FL US",06/04/2004,0,82,40
USC00080236,"ARCHBOLD BIO STATION, FL US",07/04/2004,0,83,52
USC00080236,"ARCHBOLD BIO STATION, FL US",08/04/2004,0,85,51
USC00080236,"ARCHBOLD BIO STATION, FL US",09/04/2004,0.08,89,59
USC00080236,"ARCHBOLD BIO STATION, FL US",10/04/2004,0,86,63
USC00080236,"ARCHBOLD BIO STATION, FL US",11/04/2004,0,89,53
USC00080236,"ARCHBOLD BIO STATION, FL US",12/04/2004,3.2,90,64
USC00080236,"ARCHBOLD BIO STATION, FL US",13/04/2004,0.25,77,65
USC00080236,"ARCHBOLD BIO STATION, FL US",14/04/2004,0.03,78,49
USC00080236,"ARCHBOLD BIO STATION, FL US",15/04/2004,0,70,34
USC00080236,"ARCHBOLD BIO STATION, FL US",16/04/2004,0,76,38
USC00080236,"ARCHBOLD BIO STATION, FL US",17/04/2004,0,80,53
USC00080236,"ARCHBOLD BIO STATION, FL US",18/04/2004,0,81,57
USC00080236,"ARCHBOLD BIO STATION, FL US",19/04/2004,0,82,51
USC00080236,"ARCHBOLD BIO STATION, FL US",20/04/2004,0,83,45
USC00080236,"ARCHBOLD BIO STATION, FL US",21/04/2004,0,83,48
USC00080236,"ARCHBOLD BIO STATION, FL US",22/04/2004,0,83,48
USC00080236,"ARCHBOLD BIO STATION, FL US",23/04/2004,0,86,55
USC00080236,"ARCHBOLD BIO STATION, FL US",24/04/2004,0,82,56
USC00080236,"ARCHBOLD BIO STATION, FL US",25/04/2004,0,89,65
USC00080236,"ARCHBOLD BIO STATION, FL US",26/04/2004,0,87,55
USC00080236,"ARCHBOLD BIO STATION, FL US",27/04/2004,0,90,62
USC00080236,"ARCHBOLD BIO STATION, FL US",28/04/2004,0.48,83,52
USC00080236,"ARCHBOLD BIO STATION, FL US",29/04/2004,0,85,52
USC00080236,"ARCHBOLD BIO STATION, FL US",30/04/2004,0.06,85,68
USC00080236,"ARCHBOLD BIO STATION, FL US",01/05/2004,0.11,88,67
USC00080236,"ARCHBOLD BIO STATION, FL US",02/05/2004,0,89,68
USC00080236,"ARCHBOLD BIO STATION, FL US",03/05/2004,0.38,93,68
USC00080236,"ARCHBOLD BIO STATION, FL US",04/05/2004,2.69,82,62
USC00080236,"ARCHBOLD BIO STATION, FL US",05/05/2004,0,84,59
USC00080236,"ARCHBOLD BIO STATION, FL US",06/05/2004,0,84,49
USC00080236,"ARCHBOLD BIO STATION, FL US",07/05/2004,0,87,58
USC00080236,"ARCHBOLD BIO STATION, FL US",08/05/2004,0,88,48
USC00080236,"ARCHBOLD BIO STATION, FL US",09/05/2004,0,85,62
USC00080236,"ARCHBOLD BIO STATION, FL US",10/05/2004,0,86,63
USC00080236,"ARCHBOLD BIO STATION, FL US",11/05/2004,0,83,63
USC00080236,"ARCHBOLD BIO STATION, FL US",12/05/2004,0,88,65
USC00080236,"ARCHBOLD BIO STATION, FL US",13/05/2004,0,87,65
USC00080236,"ARCHBOLD BIO STATION, FL US",14/05/2004,0,88,64
USC00080236,"ARCHBOLD BIO STATION, FL US",15/05/2004,0,87,65
USC00080236,"ARCHBOLD BIO STATION, FL US",16/05/2004,0.01,89,65
USC00080236,"ARCHBOLD BIO STATION, FL US",17/05/2004,0,88,68
USC00080236,"ARCHBOLD BIO STATION, FL US",18/05/2004,0,89,64
USC00080236,"ARCHBOLD BIO STATION, FL US",19/05/2004,0,88,65
USC00080236,"ARCHBOLD BIO STATION, FL US",20/05/2004,0,87,62
USC00080236,"ARCHBOLD BIO STATION, FL US",21/05/2004,0,90,56
USC00080236,"ARCHBOLD BIO STATION, FL US",22/05/2004,0,91,57
USC00080236,"ARCHBOLD BIO STATION, FL US",23/05/2004,0,91,55
USC00080236,"ARCHBOLD BIO STATION, FL US",24/05/2004,0,91,54
USC00080236,"ARCHBOLD BIO STATION, FL US",25/05/2004,0,91,52
USC00080236,"ARCHBOLD BIO STATION, FL US",26/05/2004,0,91,60
USC00080236,"ARCHBOLD BIO STATION, FL US",27/05/2004,0,94,63
USC00080236,"ARCHBOLD BIO STATION, FL US",28/05/2004,0,96,58
USC00080236,"ARCHBOLD BIO STATION, FL US",29/05/2004,0,95,59
USC00080236,"ARCHBOLD BIO STATION, FL US",30/05/2004,0,95,63
USC00080236,"ARCHBOLD BIO STATION, FL US",31/05/2004,0,97,66
USC00080236,"ARCHBOLD BIO STATION, FL US",01/06/2004,0,98,65
USC00080236,"ARCHBOLD BIO STATION, FL US",02/06/2004,0.95,99,68
USC00080236,"ARCHBOLD BIO STATION, FL US",03/06/2004,0.14,95,64
USC00080236,"ARCHBOLD BIO STATION, FL US",04/06/2004,1.39,94,64
USC00080236,"ARCHBOLD BIO STATION, FL US",05/06/2004,2.29,93,66
USC00080236,"ARCHBOLD BIO STATION, FL US",06/06/2004,0.01,91,65
USC00080236,"ARCHBOLD BIO STATION, FL US",07/06/2004,0.23,92,63
USC00080236,"ARCHBOLD BIO STATION, FL US",08/06/2004,0.15,92,68
USC00080236,"ARCHBOLD BIO STATION, FL US",09/06/2004,0.03,88,68
USC00080236,"ARCHBOLD BIO STATION, FL US",10/06/2004,0.06,92,68
USC00080236,"ARCHBOLD BIO STATION, FL US",11/06/2004,0.73,91,69
USC00080236,"ARCHBOLD BIO STATION, FL US",12/06/2004,0.75,94,66
USC00080236,"ARCHBOLD BIO STATION, FL US",13/06/2004,0,92,69
USC00080236,"ARCHBOLD BIO STATION, FL US",14/06/2004,0,93,72
USC00080236,"ARCHBOLD BIO STATION, FL US",15/06/2004,0.35,93,70
USC00080236,"ARCHBOLD BIO STATION, FL US",16/06/2004,0,93,73
USC00080236,"ARCHBOLD BIO STATION, FL US",17/06/2004,0,93,70
USC00080236,"ARCHBOLD BIO STATION, FL US",18/06/2004,0,92,72
USC00080236,"ARCHBOLD BIO STATION, FL US",19/06/2004,0,94,70
USC00080236,"ARCHBOLD BIO STATION, FL US",20/06/2004,0,95,68
USC00080236,"ARCHBOLD BIO STATION, FL US",21/06/2004,0,95,66
USC00080236,"ARCHBOLD BIO STATION, FL US",22/06/2004,0,95,71
USC00080236,"ARCHBOLD BIO STATION, FL US",23/06/2004,0,95,63
USC00080236,"ARCHBOLD BIO STATION, FL US",24/06/2004,0,97,64
USC00080236,"ARCHBOLD BIO STATION, FL US",25/06/2004,0.24,94,67
USC00080236,"ARCHBOLD BIO STATION, FL US",26/06/2004,0,95,70
USC00080236,"ARCHBOLD BIO STATION, FL US",27/06/2004,0,95,71
USC00080236,"ARCHBOLD BIO STATION, FL US",28/06/2004,0,94,69
USC00080236,"ARCHBOLD BIO STATION, FL US",29/06/2004,0,95,68
USC00080236,"ARCHBOLD BIO STATION, FL US",30/06/2004,0,93,68
USC00080236,"ARCHBOLD BIO STATION, FL US",01/07/2004,0.05,96,64
USC00080236,"ARCHBOLD BIO STATION, FL US",02/07/2004,0,94,66
USC00080236,"ARCHBOLD BIO STATION, FL US",03/07/2004,0,95,67
USC00080236,"ARCHBOLD BIO STATION, FL US",04/07/2004,0.06,95,69
USC00080236,"ARCHBOLD BIO STATION, FL US",05/07/2004,0,95,66
USC00080236,"ARCHBOLD BIO STATION, FL US",06/07/2004,0.9,97,68
USC00080236,"ARCHBOLD BIO STATION, FL US",07/07/2004,0.54,97,67
USC00080236,"ARCHBOLD BIO STATION, FL US",08/07/2004,0,94,63
USC00080236,"ARCHBOLD BIO STATION, FL US",09/07/2004,0,96,65
USC00080236,"ARCHBOLD BIO STATION, FL US",10/07/2004,0,95,66
USC00080236,"ARCHBOLD BIO STATION, FL US",11/07/2004,0,95,64
USC00080236,"ARCHBOLD BIO STATION, FL US",12/07/2004,0.79,96,64
USC00080236,"ARCHBOLD BIO STATION, FL US",13/07/2004,0,92,68
USC00080236,"ARCHBOLD BIO STATION, FL US",14/07/2004,0,95,68
USC00080236,"ARCHBOLD BIO STATION, FL US",15/07/2004,0,96,66
USC00080236,"ARCHBOLD BIO STATION, FL US",16/07/2004,0,94,67
USC00080236,"ARCHBOLD BIO STATION, FL US",17/07/2004,0,92,68
USC00080236,"ARCHBOLD BIO STATION, FL US",18/07/2004,0,90,70
USC00080236,"ARCHBOLD BIO STATION, FL US",19/07/2004,0.46,92,72
USC00080236,"ARCHBOLD BIO STATION, FL US",20/07/2004,0.21,88,72
USC00080236,"ARCHBOLD BIO STATION, FL US",21/07/2004,0.36,79,68
USC00080236,"ARCHBOLD BIO STATION, FL US",22/07/2004,0,90,67
USC00080236,"ARCHBOLD BIO STATION, FL US",23/07/2004,0,94,65
USC00080236,"ARCHBOLD BIO STATION, FL US",24/07/2004,0,94,65
USC00080236,"ARCHBOLD BIO STATION, FL US",25/07/2004,0,94,66
USC00080236,"ARCHBOLD BIO STATION, FL US",26/07/2004,0.06,95,67
USC00080236,"ARCHBOLD BIO STATION, FL US",27/07/2004,2.09,94,67
USC00080236,"ARCHBOLD BIO STATION, FL US",28/07/2004,1.97,92,67
USC00080236,"ARCHBOLD BIO STATION, FL US",29/07/2004,0.26,91,71
USC00080236,"ARCHBOLD BIO STATION, FL US",30/07/2004,0.07,90,72
USC00080236,"ARCHBOLD BIO STATION, FL US",31/07/2004,0.7,91,67
USC00080236,"ARCHBOLD BIO STATION, FL US",01/08/2004,1.21,91,69
USC00080236,"ARCHBOLD BIO STATION, FL US",02/08/2004,2.18,88,72
USC00080236,"ARCHBOLD BIO STATION, FL US",03/08/2004,0.12,85,73
USC00080236,"ARCHBOLD BIO STATION, FL US",04/08/2004,0.52,89,73
USC00080236,"ARCHBOLD BIO STATION, FL US",05/08/2004,2.96,89,73
USC00080236,"ARCHBOLD BIO STATION, FL US",06/08/2004,0.11,89,73
USC00080236,"ARCHBOLD BIO STATION, FL US",07/08/2004,0.09,91,74
USC00080236,"ARCHBOLD BIO STATION, FL US",08/08/2004,0.65,89,74
USC00080236,"ARCHBOLD BIO STATION, FL US",09/08/2004,0.22,85,71
USC00080236,"ARCHBOLD BIO STATION, FL US",10/08/2004,0,94,71
USC00080236,"ARCHBOLD BIO STATION, FL US",11/08/2004,0,92,71
USC00080236,"ARCHBOLD BIO STATION, FL US",12/08/2004,0.07,95,72
USC00080236,"ARCHBOLD BIO STATION, FL US",13/08/2004,0.14,93,71
USC00080236,"ARCHBOLD BIO STATION, FL US",14/08/2004,1.34,80,66
USC00080236,"ARCHBOLD BIO STATION, FL US",15/08/2004,0.81,90,69
USC00080236,"ARCHBOLD BIO STATION, FL US",16/08/2004,0.15,91,70
USC00080236,"ARCHBOLD BIO STATION, FL US",17/08/2004,0,92,70
USC00080236,"ARCHBOLD BIO STATION, FL US",18/08/2004,0.38,93,72
USC00080236,"ARCHBOLD BIO STATION, FL US",19/08/2004,0.48,94,70
USC00080236,"ARCHBOLD BIO STATION, FL US",20/08/2004,0.03,92,70
USC00080236,"ARCHBOLD BIO STATION, FL US",21/08/2004,0,92,69
USC00080236,"ARCHBOLD BIO STATION, FL US",22/08/2004,0,93,68
USC00080236,"ARCHBOLD BIO STATION, FL US",23/08/2004,0.51,91,68
USC00080236,"ARCHBOLD BIO STATION, FL US",24/08/2004,0,92,69
USC00080236,"ARCHBOLD BIO STATION, FL US",25/08/2004,2.44,91,69
USC00080236,"ARCHBOLD BIO STATION, FL US",26/08/2004,1.23,90,68
USC00080236,"ARCHBOLD BIO STATION, FL US",27/08/2004,2.06,95,69
USC00080236,"ARCHBOLD BIO STATION, FL US",28/08/2004,0.14,92,69
USC00080236,"ARCHBOLD BIO STATION, FL US",29/08/2004,0,93,70
USC00080236,"ARCHBOLD BIO STATION, FL US",30/08/2004,0,94,70
USC00080236,"ARCHBOLD BIO STATION, FL US",31/08/2004,0.04,94,71
USC00080236,"ARCHBOLD BIO STATION, FL US",01/09/2004,0,94,71
USC00080236,"ARCHBOLD BIO STATION, FL US",02/09/2004,0.59,91,73
USC00080236,"ARCHBOLD BIO STATION, FL US",03/09/2004,0.04,92,76
USC00080236,"ARCHBOLD BIO STATION, FL US",04/09/2004,0.91,92,72
USC00080236,"ARCHBOLD BIO STATION, FL US",05/09/2004,0.54,85,70
USC00080236,"ARCHBOLD BIO STATION, FL US",06/09/2004,2.51,84,74
USC00080236,"ARCHBOLD BIO STATION, FL US",07/09/2004,0.16,89,74
USC00080236,"ARCHBOLD BIO STATION, FL US",08/09/2004,0.23,88,74
USC00080236,"ARCHBOLD BIO STATION, FL US",09/09/2004,0.57,88,73
USC00080236,"ARCHBOLD BIO STATION, FL US",10/09/2004,0,90,73
USC00080236,"ARCHBOLD BIO STATION, FL US",11/09/2004,0,91,74
USC00080236,"ARCHBOLD BIO STATION, FL US",12/09/2004,0,89,74
USC00080236,"ARCHBOLD BIO STATION, FL US",13/09/2004,0,91,74
USC00080236,"ARCHBOLD BIO STATION, FL US",14/09/2004,0,89,77
USC00080236,"ARCHBOLD BIO STATION, FL US",15/09/2004,0,85,77
USC00080236,"ARCHBOLD BIO STATION, FL US",16/09/2004,0,91,77
USC00080236,"ARCHBOLD BIO STATION, FL US",17/09/2004,0,93,74
USC00080236,"ARCHBOLD BIO STATION, FL US",18/09/2004,0,92,68
USC00080236,"ARCHBOLD BIO STATION, FL US",19/09/2004,0,93,72
USC00080236,"ARCHBOLD BIO STATION, FL US",20/09/2004,0.29,91,72
USC00080236,"ARCHBOLD BIO STATION, FL US",21/09/2004,0.95,83,71
USC00080236,"ARCHBOLD BIO STATION, FL US",22/09/2004,0.87,80,72
USC00080236,"ARCHBOLD BIO STATION, FL US",23/09/2004,0,87,71
USC00080236,"ARCHBOLD BIO STATION, FL US",24/09/2004,0.02,89,67
USC00080236,"ARCHBOLD BIO STATION, FL US",25/09/2004,0,88,70
USC00080236,"ARCHBOLD BIO STATION, FL US",26/09/2004,4.41,85,70
USC00080236,"ARCHBOLD BIO STATION, FL US",27/09/2004,0.35,80,75
USC00080236,"ARCHBOLD BIO STATION, FL US",28/09/2004,0.1,88,68
USC00080236,"ARCHBOLD BIO STATION, FL US",29/09/2004,0,88,69
USC00080236,"ARCHBOLD BIO STATION, FL US",30/09/2004,0,91,66
USC00080236,"ARCHBOLD BIO STATION, FL US",01/10/2004,1.1,90,70
USC00080236,"ARCHBOLD BIO STATION, FL US",02/10/2004,0,89,70
USC00080236,"ARCHBOLD BIO STATION, FL US",03/10/2004,0,89,69
USC00080236,"ARCHBOLD BIO STATION, FL US",04/10/2004,0,90,65
USC00080236,"ARCHBOLD BIO STATION, FL US",05/10/2004,0.05,90,65
USC00080236,"ARCHBOLD BIO STATION, FL US",06/10/2004,0,90,71
USC00080236,"ARCHBOLD BIO STATION, FL US",07/10/2004,0.01,88,69
USC00080236,"ARCHBOLD BIO STATION, FL US",08/10/2004,0,85,66
USC00080236,"ARCHBOLD BIO STATION, FL US",09/10/2004,0,87,63
USC00080236,"ARCHBOLD BIO STATION, FL US",10/10/2004,0,87,64
USC00080236,"ARCHBOLD BIO STATION, FL US",11/10/2004,0,85,72
USC00080236,"ARCHBOLD BIO STATION, FL US",12/10/2004,1.05,81,70
USC00080236,"ARCHBOLD BIO STATION, FL US",13/10/2004,0.02,89,62
USC00080236,"ARCHBOLD BIO STATION, FL US",14/10/2004,0,87,59
USC00080236,"ARCHBOLD BIO STATION, FL US",15/10/2004,0,86,63
USC00080236,"ARCHBOLD BIO STATION, FL US",16/10/2004,0.1,86,44
USC00080236,"ARCHBOLD BIO STATION, FL US",17/10/2004,0,81,49
USC00080236,"ARCHBOLD BIO STATION, FL US",18/10/2004,0,85,63
USC00080236,"ARCHBOLD BIO STATION, FL US",19/10/2004,0,87,66
USC00080236,"ARCHBOLD BIO STATION, FL US",20/10/2004,0.38,89,66
USC00080236,"ARCHBOLD BIO STATION, FL US",21/10/2004,0.31,88,66
USC00080236,"ARCHBOLD BIO STATION, FL US",22/10/2004,0,88,65
USC00080236,"ARCHBOLD BIO STATION, FL US",23/10/2004,0,85,67
USC00080236,"ARCHBOLD BIO STATION, FL US",24/10/2004,0,89,58
USC00080236,"ARCHBOLD BIO STATION, FL US",25/10/2004,0,85,57
USC00080236,"ARCHBOLD BIO STATION, FL US",26/10/2004,0,86,56
USC00080236,"ARCHBOLD BIO STATION, FL US",27/10/2004,0,85,57
USC00080236,"ARCHBOLD BIO STATION, FL US",28/10/2004,0,85,57
USC00080236,"ARCHBOLD BIO STATION, FL US",29/10/2004,0,83,61
USC00080236,"ARCHBOLD BIO STATION, FL US",30/10/2004,0,84,57
USC00080236,"ARCHBOLD BIO STATION, FL US",31/10/2004,0,84,56
USC00080236,"ARCHBOLD BIO STATION, FL US",01/11/2004,0,87,69
USC00080236,"ARCHBOLD BIO STATION, FL US",02/11/2004,0,87,64
USC00080236,"ARCHBOLD BIO STATION, FL US",03/11/2004,0,86,57
USC00080236,"ARCHBOLD BIO STATION, FL US",04/11/2004,0,88,60
USC00080236,"ARCHBOLD BIO STATION, FL US",05/11/2004,0,87,60
USC00080236,"ARCHBOLD BIO STATION, FL US",06/11/2004,0.01,78,59
USC00080236,"ARCHBOLD BIO STATION, FL US",07/11/2004,0,81,54
USC00080236,"ARCHBOLD BIO STATION, FL US",08/11/2004,0,81,46
USC00080236,"ARCHBOLD BIO STATION, FL US",09/11/2004,0,79,44
USC00080236,"ARCHBOLD BIO STATION, FL US",10/11/2004,0.15,82,62
USC00080236,"ARCHBOLD BIO STATION, FL US",11/11/2004,0,80,61
USC00080236,"ARCHBOLD BIO STATION, FL US",12/11/2004,0.02,82,59
USC00080236,"ARCHBOLD BIO STATION, FL US",13/11/2004,0,84,55
USC00080236,"ARCHBOLD BIO STATION, FL US",14/11/2004,0.05,85,67
USC00080236,"ARCHBOLD BIO STATION, FL US",15/11/2004,0.01,76,60
USC00080236,"ARCHBOLD BIO STATION, FL US",16/11/2004,0,80,51
USC00080236,"ARCHBOLD BIO STATION, FL US",17/11/2004,0,78,56
USC00080236,"ARCHBOLD BIO STATION, FL US",18/11/2004,0,78,53
USC00080236,"ARCHBOLD BIO STATION, FL US",19/11/2004,0,79,47
USC00080236,"ARCHBOLD BIO STATION, FL US",20/11/2004,0,80,49
USC00080236,"ARCHBOLD BIO STATION, FL US",21/11/2004,0,81,51
USC00080236,"ARCHBOLD BIO STATION, FL US",22/11/2004,0,83,51
USC00080236,"ARCHBOLD BIO STATION, FL US",23/11/2004,0,82,54
USC00080236,"ARCHBOLD BIO STATION, FL US",24/11/2004,0,82,63
USC00080236,"ARCHBOLD BIO STATION, FL US",25/11/2004,0.12,85,68
USC00080236,"ARCHBOLD BIO STATION, FL US",26/11/2004,0,81,48
USC00080236,"ARCHBOLD BIO STATION, FL US",27/11/2004,0,73,48
USC00080236,"ARCHBOLD BIO STATION, FL US",28/11/2004,0.31,81,61
USC00080236,"ARCHBOLD BIO STATION, FL US",29/11/2004,0,79,50
USC00080236,"ARCHBOLD BIO STATION, FL US",30/11/2004,0,79,50
USC00080236,"ARCHBOLD BIO STATION, FL US",01/12/2004,0,80,62
USC00080236,"ARCHBOLD BIO STATION, FL US",02/12/2004,0,82,53
USC00080236,"ARCHBOLD BIO STATION, FL US",03/12/2004,0,79,49
USC00080236,"ARCHBOLD BIO STATION, FL US",04/12/2004,0,74,38
USC00080236,"ARCHBOLD BIO STATION, FL US",05/12/2004,0,69,47
USC00080236,"ARCHBOLD BIO STATION, FL US",06/12/2004,0,79,53
USC00080236,"ARCHBOLD BIO STATION, FL US",07/12/2004,0,82,62
USC00080236,"ARCHBOLD BIO STATION, FL US",08/12/2004,0,80,56
USC00080236,"ARCHBOLD BIO STATION, FL US",09/12/2004,0,83,60
USC00080236,"ARCHBOLD BIO STATION, FL US",10/12/2004,0.01,85,62
USC00080236,"ARCHBOLD BIO STATION, FL US",11/12/2004,0.03,81,51
USC00080236,"ARCHBOLD BIO STATION, FL US",12/12/2004,0,74,44
USC00080236,"ARCHBOLD BIO STATION, FL US",13/12/2004,0,65,31
USC00080236,"ARCHBOLD BIO STATION, FL US",14/12/2004,0,78,46
USC00080236,"ARCHBOLD BIO STATION, FL US",15/12/2004,0,68,39
USC00080236,"ARCHBOLD BIO STATION, FL US",16/12/2004,0,61,42
USC00080236,"ARCHBOLD BIO STATION, FL US",17/12/2004,0,72,53
