STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/02/2004,0,,60,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/02/2004,0,,65,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/02/2004,0,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/02/2004,0,,67,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/02/2004,0,,66,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/02/2004,0,,60,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/02/2004,0,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/02/2004,0.04,,63,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/02/2004,1.13,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/02/2004,0.3,,62,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/02/2004,0.16,,58,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/02/2004,0,,56,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/02/2004,0,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/02/2004,0.03,,56,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/02/2004,0.1,,56,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/02/2004,0,,59,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/02/2004,0.12,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/02/2004,2.01,,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/02/2004,0.16,,56,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/02/2004,0.05,,57,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/02/2004,0,,58,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/02/2004,0,,56,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/03/2004,0.28,,53,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/03/2004,0,,69,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/03/2004,0,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/03/2004,0,,62,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/03/2004,0,,61,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/03/2004,0,,65,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/03/2004,0,,77,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/03/2004,0,,82,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/03/2004,0,,78,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/03/2004,0,,81,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/03/2004,0,,81,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/03/2004,0,,68,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/03/2004,0,,70,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/03/2004,0,,78,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/03/2004,0,,82,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/03/2004,0,,84,64
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/03/2004,0,,84,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/03/2004,0,,81,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/03/2004,0,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/03/2004,0,,78,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/03/2004,0,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/03/2004,0,,57,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/03/2004,0,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/03/2004,0,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/03/2004,0.84,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/03/2004,0,,58,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/03/2004,0.03,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/03/2004,0,,76,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/03/2004,0,,65,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/03/2004,0.01,,58,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/03/2004,0,,60,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/04/2004,0,,66,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/04/2004,0,,71,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/04/2004,0,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/04/2004,0,,56,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/04/2004,0,,57,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/04/2004,0,,58,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/04/2004,0,,67,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/04/2004,0,,63,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/04/2004,0,,68,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/04/2004,0,,67,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/04/2004,0,,59,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/04/2004,0,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/04/2004,0,,61,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/04/2004,0.01,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/04/2004,0,,58,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/04/2004,0,,59,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/04/2004,0,,59,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/04/2004,0.01,,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/04/2004,0.01,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/04/2004,0.05,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/04/2004,0.04,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/04/2004,0,,75,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/04/2004,0,,77,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/04/2004,0,,80,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/04/2004,0,,88,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/04/2004,0,,91,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/04/2004,0,,86,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/04/2004,0,,69,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/04/2004,0,,77,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/04/2004,0,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/05/2004,0,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/05/2004,0,,80,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/05/2004,0,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/05/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/05/2004,0,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/05/2004,0,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/05/2004,0,,67,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/05/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/05/2004,0,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/05/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/05/2004,0,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/05/2004,0,,66,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/05/2004,0,,65,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/05/2004,0,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/05/2004,0,,63,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/05/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/05/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/05/2004,0,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/05/2004,0,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/05/2004,0,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/05/2004,0,,60,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/05/2004,0,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/05/2004,0,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/05/2004,0,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/05/2004,0,,66,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/05/2004,0,,65,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/05/2004,0,,63,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/05/2004,0.12,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/05/2004,0,,66,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/05/2004,0,,68,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/05/2004,0,,68,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/06/2004,0,,71,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/06/2004,0,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/06/2004,0,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/06/2004,0,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/06/2004,0,,57,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/06/2004,0,,67,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/06/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/06/2004,0,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/06/2004,0,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/06/2004,0,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/06/2004,0,,63,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/06/2004,0,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/06/2004,0,,68,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/06/2004,0,,71,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/06/2004,0,,72,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/06/2004,0,,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/06/2004,0,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/06/2004,0,,65,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/06/2004,0,,62,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/06/2004,0,,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/06/2004,0,,64,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/06/2004,0,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/06/2004,0,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/06/2004,0,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/06/2004,0,,70,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/06/2004,0,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/06/2004,0,,71,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/06/2004,0,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/06/2004,0,,67,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/06/2004,0,,64,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/07/2004,0,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/07/2004,0,,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/07/2004,0,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/07/2004,0,,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/07/2004,0,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/07/2004,0,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/07/2004,0,,68,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/07/2004,0,,66,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/07/2004,0,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/07/2004,0,,69,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/07/2004,0,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/07/2004,0,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/07/2004,0,,64,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/07/2004,0,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/07/2004,0,,67,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/07/2004,0,,64,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/07/2004,0,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/07/2004,0,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/07/2004,0,,70,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/07/2004,0,,66,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/07/2004,0,,73,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/07/2004,0,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/07/2004,0,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/07/2004,0,,70,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/07/2004,0,,66,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/07/2004,0,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/07/2004,0,,64,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/07/2004,0,,67,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/07/2004,0,,63,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/07/2004,0,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/07/2004,0,,63,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/08/2004,0.01,,63,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/08/2004,0.02,,64,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/08/2004,0,,65,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/08/2004,0,,65,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/08/2004,0,,68,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/08/2004,0,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/08/2004,0,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/08/2004,0,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/08/2004,0,,65,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/08/2004,0,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/08/2004,0,,67,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/08/2004,0,,65,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/08/2004,0,,67,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/08/2004,0,,62,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/08/2004,0,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/08/2004,0,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/08/2004,0,,70,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/08/2004,0,,70,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/08/2004,0,,64,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/08/2004,0,,70,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/08/2004,0,,68,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/08/2004,0,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/08/2004,0.02,,65,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/08/2004,0,,65,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/08/2004,0,,69,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/08/2004,0,,74,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/08/2004,0,,90,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/08/2004,0,,88,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/08/2004,0,,68,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/08/2004,0,,67,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/08/2004,0,,70,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/09/2004,0,,66,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/09/2004,0,,72,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/09/2004,0,,84,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/09/2004,0,,88,63
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/09/2004,0,,96,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/09/2004,0,,87,64
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/09/2004,0,,85,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/09/2004,0,,84,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/09/2004,0,,73,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/09/2004,0,,69,66
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/09/2004,0,,71,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/09/2004,0,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/09/2004,0,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/09/2004,0,,78,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/09/2004,0,,77,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/09/2004,0,,70,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/09/2004,0,,68,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/09/2004,0,,63,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/09/2004,0.04,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/09/2004,0,,69,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/09/2004,0,,76,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/09/2004,0,,77,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/09/2004,0,,85,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/09/2004,0,,79,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/09/2004,0,,61,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/09/2004,0,,70,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/09/2004,0,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/09/2004,0,,61,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/09/2004,0,,61,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/09/2004,0,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/10/2004,0,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/10/2004,0,,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/10/2004,0,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/10/2004,0,,61,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/10/2004,0,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/10/2004,0,,71,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/10/2004,0,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/10/2004,0,,70,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/10/2004,0,,69,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/10/2004,0,,73,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/10/2004,0,,86,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/10/2004,0,,87,65
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",13/10/2004,0,,93,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",14/10/2004,0,,77,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",15/10/2004,0,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",16/10/2004,0,,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",17/10/2004,0.21,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",18/10/2004,0,,64,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",19/10/2004,1.09,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",20/10/2004,0.09,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",21/10/2004,0,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",22/10/2004,0,,64,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",23/10/2004,0.16,,61,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",24/10/2004,0,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",25/10/2004,0.05,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",26/10/2004,1.02,,60,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",27/10/2004,0,,62,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",28/10/2004,0,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",29/10/2004,0,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",30/10/2004,0,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",31/10/2004,0,,69,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/11/2004,0,,71,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/11/2004,0,,71,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",03/11/2004,0.13,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",04/11/2004,0.21,,56,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",05/11/2004,0,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",06/11/2004,0,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",07/11/2004,0,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",08/11/2004,0,,57,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",09/11/2004,0.01,,61,52
